INSERT INTO schedule(departTime, arriveTime, airline, price, departCtID, arriveCtID) VALUES
('2020-10-15 14:00:00', '2020-10-15 19:00:00', 9, 381900, 10, 20),
('2020-10-15 14:00:00', '2020-10-15 19:00:00', 9, 756900, 20, 10),
('2020-10-15 11:00:00', '2020-10-15 16:00:00', 7, 796900, 10, 20),
('2020-10-15 11:00:00', '2020-10-15 16:00:00', 7, 413700, 20, 10),
('2020-10-15 10:00:00', '2020-10-15 15:00:00', 7, 465000, 10, 20),
('2020-10-15 10:00:00', '2020-10-15 15:00:00', 7, 564700, 20, 10),
('2020-10-15 6:00:00', '2020-10-15 11:00:00', 8, 407800, 10, 20),
('2020-10-15 6:00:00', '2020-10-15 11:00:00', 8, 677700, 20, 10),
('2020-10-15 7:00:00', '2020-10-15 12:00:00', 7, 589700, 10, 30),
('2020-10-15 7:00:00', '2020-10-15 12:00:00', 7, 348300, 30, 10),
('2020-10-15 17:00:00', '2020-10-15 22:00:00', 8, 637700, 10, 30),
('2020-10-15 17:00:00', '2020-10-15 22:00:00', 8, 485100, 30, 10),
('2020-10-15 3:00:00', '2020-10-15 8:00:00', 8, 614600, 10, 30),
('2020-10-15 3:00:00', '2020-10-15 8:00:00', 8, 459200, 30, 10),
('2020-10-15 9:00:00', '2020-10-15 14:00:00', 7, 303700, 10, 30),
('2020-10-15 9:00:00', '2020-10-15 14:00:00', 7, 713600, 30, 10),
('2020-10-15 4:00:00', '2020-10-15 9:00:00', 7, 464700, 10, 40),
('2020-10-15 4:00:00', '2020-10-15 9:00:00', 7, 322900, 40, 10),
('2020-10-15 14:00:00', '2020-10-15 19:00:00', 9, 715700, 10, 40),
('2020-10-15 14:00:00', '2020-10-15 19:00:00', 9, 508300, 40, 10),
('2020-10-15 17:00:00', '2020-10-15 22:00:00', 7, 654200, 10, 40),
('2020-10-15 17:00:00', '2020-10-15 22:00:00', 7, 548900, 40, 10),
('2020-10-15 2:00:00', '2020-10-15 7:00:00', 7, 441700, 10, 40),
('2020-10-15 2:00:00', '2020-10-15 7:00:00', 7, 706600, 40, 10),
('2020-10-15 4:00:00', '2020-10-15 9:00:00', 9, 790800, 10, 50),
('2020-10-15 4:00:00', '2020-10-15 9:00:00', 9, 493500, 50, 10),
('2020-10-15 6:00:00', '2020-10-15 11:00:00', 7, 741400, 10, 50),
('2020-10-15 6:00:00', '2020-10-15 11:00:00', 7, 673900, 50, 10),
('2020-10-15 14:00:00', '2020-10-15 19:00:00', 8, 393300, 10, 50),
('2020-10-15 14:00:00', '2020-10-15 19:00:00', 8, 423400, 50, 10),
('2020-10-15 14:00:00', '2020-10-15 19:00:00', 7, 645700, 10, 50),
('2020-10-15 14:00:00', '2020-10-15 19:00:00', 7, 743000, 50, 10),
('2020-10-16 9:00:00', '2020-10-16 14:00:00', 7, 708200, 10, 20),
('2020-10-16 9:00:00', '2020-10-16 14:00:00', 7, 486300, 20, 10),
('2020-10-16 8:00:00', '2020-10-16 13:00:00', 7, 668400, 10, 20),
('2020-10-16 8:00:00', '2020-10-16 13:00:00', 7, 348600, 20, 10),
('2020-10-16 17:00:00', '2020-10-16 22:00:00', 9, 565600, 10, 20),
('2020-10-16 17:00:00', '2020-10-16 22:00:00', 9, 569500, 20, 10),
('2020-10-16 5:00:00', '2020-10-16 10:00:00', 7, 502300, 10, 20),
('2020-10-16 5:00:00', '2020-10-16 10:00:00', 7, 676900, 20, 10),
('2020-10-16 8:00:00', '2020-10-16 13:00:00', 9, 575900, 10, 30),
('2020-10-16 8:00:00', '2020-10-16 13:00:00', 9, 540400, 30, 10),
('2020-10-16 1:00:00', '2020-10-16 6:00:00', 8, 562400, 10, 30),
('2020-10-16 1:00:00', '2020-10-16 6:00:00', 8, 596500, 30, 10),
('2020-10-16 6:00:00', '2020-10-16 11:00:00', 7, 794400, 10, 30),
('2020-10-16 6:00:00', '2020-10-16 11:00:00', 7, 733600, 30, 10),
('2020-10-16 16:00:00', '2020-10-16 21:00:00', 8, 593000, 10, 30),
('2020-10-16 16:00:00', '2020-10-16 21:00:00', 8, 371500, 30, 10),
('2020-10-16 12:00:00', '2020-10-16 17:00:00', 9, 331800, 10, 40),
('2020-10-16 12:00:00', '2020-10-16 17:00:00', 9, 480300, 40, 10),
('2020-10-16 12:00:00', '2020-10-16 17:00:00', 7, 583400, 10, 40),
('2020-10-16 12:00:00', '2020-10-16 17:00:00', 7, 541400, 40, 10),
('2020-10-16 3:00:00', '2020-10-16 8:00:00', 9, 592500, 10, 40),
('2020-10-16 3:00:00', '2020-10-16 8:00:00', 9, 769200, 40, 10),
('2020-10-16 5:00:00', '2020-10-16 10:00:00', 7, 495600, 10, 40),
('2020-10-16 5:00:00', '2020-10-16 10:00:00', 7, 605800, 40, 10),
('2020-10-16 4:00:00', '2020-10-16 9:00:00', 7, 310200, 10, 50),
('2020-10-16 4:00:00', '2020-10-16 9:00:00', 7, 582000, 50, 10),
('2020-10-16 4:00:00', '2020-10-16 9:00:00', 7, 493800, 10, 50),
('2020-10-16 4:00:00', '2020-10-16 9:00:00', 7, 759900, 50, 10),
('2020-10-16 13:00:00', '2020-10-16 18:00:00', 9, 540800, 10, 50),
('2020-10-16 13:00:00', '2020-10-16 18:00:00', 9, 392800, 50, 10),
('2020-10-16 17:00:00', '2020-10-16 22:00:00', 7, 752500, 10, 50),
('2020-10-16 17:00:00', '2020-10-16 22:00:00', 7, 427600, 50, 10),
('2020-10-17 14:00:00', '2020-10-17 19:00:00', 9, 724800, 10, 20),
('2020-10-17 14:00:00', '2020-10-17 19:00:00', 9, 766100, 20, 10),
('2020-10-17 9:00:00', '2020-10-17 14:00:00', 8, 682500, 10, 20),
('2020-10-17 9:00:00', '2020-10-17 14:00:00', 8, 359000, 20, 10),
('2020-10-17 12:00:00', '2020-10-17 17:00:00', 7, 461800, 10, 20),
('2020-10-17 12:00:00', '2020-10-17 17:00:00', 7, 537200, 20, 10),
('2020-10-17 15:00:00', '2020-10-17 20:00:00', 7, 412500, 10, 20),
('2020-10-17 15:00:00', '2020-10-17 20:00:00', 7, 781600, 20, 10),
('2020-10-17 10:00:00', '2020-10-17 15:00:00', 9, 784400, 10, 30),
('2020-10-17 10:00:00', '2020-10-17 15:00:00', 9, 562100, 30, 10),
('2020-10-17 13:00:00', '2020-10-17 18:00:00', 7, 623200, 10, 30),
('2020-10-17 13:00:00', '2020-10-17 18:00:00', 7, 783500, 30, 10),
('2020-10-17 14:00:00', '2020-10-17 19:00:00', 8, 524100, 10, 30),
('2020-10-17 14:00:00', '2020-10-17 19:00:00', 8, 350900, 30, 10),
('2020-10-17 10:00:00', '2020-10-17 15:00:00', 7, 757300, 10, 30),
('2020-10-17 10:00:00', '2020-10-17 15:00:00', 7, 644500, 30, 10),
('2020-10-17 8:00:00', '2020-10-17 13:00:00', 8, 654000, 10, 40),
('2020-10-17 8:00:00', '2020-10-17 13:00:00', 8, 784200, 40, 10),
('2020-10-17 10:00:00', '2020-10-17 15:00:00', 9, 521500, 10, 40),
('2020-10-17 10:00:00', '2020-10-17 15:00:00', 9, 771500, 40, 10),
('2020-10-17 16:00:00', '2020-10-17 21:00:00', 9, 574400, 10, 40),
('2020-10-17 16:00:00', '2020-10-17 21:00:00', 9, 581900, 40, 10),
('2020-10-17 5:00:00', '2020-10-17 10:00:00', 9, 418100, 10, 40),
('2020-10-17 5:00:00', '2020-10-17 10:00:00', 9, 503300, 40, 10),
('2020-10-17 15:00:00', '2020-10-17 20:00:00', 8, 763900, 10, 50),
('2020-10-17 15:00:00', '2020-10-17 20:00:00', 8, 490600, 50, 10),
('2020-10-17 14:00:00', '2020-10-17 19:00:00', 8, 522300, 10, 50),
('2020-10-17 14:00:00', '2020-10-17 19:00:00', 8, 794100, 50, 10),
('2020-10-17 7:00:00', '2020-10-17 12:00:00', 7, 353500, 10, 50),
('2020-10-17 7:00:00', '2020-10-17 12:00:00', 7, 724300, 50, 10),
('2020-10-17 11:00:00', '2020-10-17 16:00:00', 7, 312600, 10, 50),
('2020-10-17 11:00:00', '2020-10-17 16:00:00', 7, 443300, 50, 10),
('2020-10-18 7:00:00', '2020-10-18 12:00:00', 8, 428500, 10, 20),
('2020-10-18 7:00:00', '2020-10-18 12:00:00', 8, 592400, 20, 10),
('2020-10-18 11:00:00', '2020-10-18 16:00:00', 9, 426300, 10, 20),
('2020-10-18 11:00:00', '2020-10-18 16:00:00', 9, 742400, 20, 10),
('2020-10-18 3:00:00', '2020-10-18 8:00:00', 8, 551000, 10, 20),
('2020-10-18 3:00:00', '2020-10-18 8:00:00', 8, 700500, 20, 10),
('2020-10-18 11:00:00', '2020-10-18 16:00:00', 9, 547200, 10, 20),
('2020-10-18 11:00:00', '2020-10-18 16:00:00', 9, 594200, 20, 10),
('2020-10-18 15:00:00', '2020-10-18 20:00:00', 7, 786500, 10, 30),
('2020-10-18 15:00:00', '2020-10-18 20:00:00', 7, 380700, 30, 10),
('2020-10-18 8:00:00', '2020-10-18 13:00:00', 9, 728100, 10, 30),
('2020-10-18 8:00:00', '2020-10-18 13:00:00', 9, 392200, 30, 10),
('2020-10-18 6:00:00', '2020-10-18 11:00:00', 7, 712600, 10, 30),
('2020-10-18 6:00:00', '2020-10-18 11:00:00', 7, 586200, 30, 10),
('2020-10-18 1:00:00', '2020-10-18 6:00:00', 7, 545200, 10, 30),
('2020-10-18 1:00:00', '2020-10-18 6:00:00', 7, 435000, 30, 10),
('2020-10-18 5:00:00', '2020-10-18 10:00:00', 8, 648100, 10, 40),
('2020-10-18 5:00:00', '2020-10-18 10:00:00', 8, 640900, 40, 10),
('2020-10-18 10:00:00', '2020-10-18 15:00:00', 7, 619000, 10, 40),
